specimen,reference_no,subfamily,tribe,genus,fossil,min_ma,max_ma,notes
Elaeomyrmex_coloradensis,4971,Dolichoderinae,None,Elaeomyrmex,Yes,33.9,37.2,Note
Elaeomyrmex_gracilis,4971,Dolichoderinae,None,Elaeomyrmex,Yes,33.9,37.2,Note
Elaphrodites_mutatus,16579,Dolichoderinae,None,Elaphrodites,Yes,11.608,15.97,Note
Elaphrodites_scutulatus,16579,Dolichoderinae,None,Elaphrodites,Yes,11.608,15.97,Note
Eldermyrmex_oblongiceps,40999,Dolichoderinae,None,Eldermyrmex,Yes,33.9,38,Note
Electromyrmex_klebsi,40999,Dolichoderinae,None,Electromyrmex,Yes,33.9,38,Note
Emplastus_antiquus,37730,Dolichoderinae,None,Emplastus,Yes,11.608,12.7,Note
Emplastus_biamoensis,56094,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_britannicus,37729,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_dubius,51760,Dolichoderinae,None,Emplastus,Yes,11.608,12.7,Note
Emplastus_elongatus,56094,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_gurnetensis,5061,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_haueri,37730,Dolichoderinae,None,Emplastus,Yes,11.608,12.7,Note
Emplastus_hypolithus,37729,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_kozlovi,51861,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_macrops,56094,Dolichoderinae,None,Emplastus,Yes,33.9,38,Note
Emplastus_miocenicus,51760,Dolichoderinae,None,Emplastus,Yes,11.608,12.7,Note
Emplastus_ocellus,37344,Dolichoderinae,None,Emplastus,Yes,11.608,12.7,Note
Eotapinoma_compacta,44404,Dolichoderinae,None,Eotapinoma,Yes,41.3,47.8,Note
Eotapinoma_gracilis,44404,Dolichoderinae,None,Eotapinoma,Yes,41.3,47.8,Note
Eotapinoma_macalpini,38952,Dolichoderinae,None,Eotapinoma,Yes,70.6,83.5,Note
Eurymyrmex_geologicus,36942,Dolichoderinae,None,Eurymyrmex,Yes,11.608,15.97,Note
Forelius,49381,Dolichoderinae,None,Forelius,Yes,15.97,23.03,Note
Gracilidris_humiloides,5207,Dolichoderinae,None,Gracilidris,Yes,13.82,20.44,Note
Iridomyrmex,38990,Dolichoderinae,None,Iridomyrmex,Yes,38,41.3,Note
Iridomyrmex_shandongicus,16579,Dolichoderinae,None,Iridomyrmex,Yes,11.608,15.97,Note
Kotshkorkia_laticeps,41286,Dolichoderinae,None,Kotshkorkia,Yes,5.333,15.97,Note
Ktunaxia_jucunda,55770,Dolichoderinae,None,Ktunaxia,Yes,41.3,47.8,Note
Leptomyrmex_neotropicus,5207,Dolichoderinae,None,Leptomyrmex,Yes,13.82,20.44,Note
Leptomyrmula_maravignae,44518,Dolichoderinae,None,Leptomyrmula,Yes,5.333,11.608,Note
Linepithema,55004,Dolichoderinae,None,Linepithema,Yes,13.82,20.44,Note
Liometopum,38709,Dolichoderinae,None,Liometopum,Yes,11.608,12.7,Note
Liometopum_bogdassarovi,56276,Dolichoderinae,None,Liometopum,Yes,33.9,38,Note
Liometopum_eremicum,16579,Dolichoderinae,None,Liometopum,Yes,11.608,15.97,Note
Liometopum_imhoffii,37344,Dolichoderinae,None,Liometopum,Yes,11.608,12.7,Note
Liometopum_incognitum,56094,Dolichoderinae,None,Liometopum,Yes,33.9,38,Note
Liometopum_lubricum,36942,Dolichoderinae,None,Liometopum,Yes,11.608,15.97,Note
Liometopum_miocenicum,4971,Dolichoderinae,None,Liometopum,Yes,33.9,37.2,Note
Liometopum_oligocenicum,40999,Dolichoderinae,None,Liometopum,Yes,33.9,38,Note
Liometopum_potamophilum,16579,Dolichoderinae,None,Liometopum,Yes,11.608,15.97,Note
Liometopum_scudderi,4971,Dolichoderinae,None,Liometopum,Yes,33.9,37.2,Note
Miomyrmex_impactus,4971,Dolichoderinae,None,Miomyrmex,Yes,33.9,37.2,Note
Miomyrmex_striatus,4971,Dolichoderinae,None,Miomyrmex,Yes,33.9,37.2,Note
Petraeomyrmex_minimus,4971,Dolichoderinae,None,Petraeomyrmex,Yes,33.9,37.2,Note
Proiridomyrmex_rotundatus,55770,Dolichoderinae,None,Proiridomyrmex,Yes,41.3,47.8,Note
Proiridomyrmex_vetulus,44418,Dolichoderinae,None,Proiridomyrmex,Yes,46.2,50.3,Note
Protazteca_capitata,4971,Dolichoderinae,None,Protazteca,Yes,33.9,37.2,Note
Protazteca_elongata,4971,Dolichoderinae,None,Protazteca,Yes,33.9,37.2,Note
Protazteca_eocenica,55770,Dolichoderinae,None,Protazteca,Yes,41.3,47.8,Note
Protazteca_hendersoni,5014,Dolichoderinae,None,Protazteca,Yes,33.9,37.2,Note
Protazteca_quadrata,4971,Dolichoderinae,None,Protazteca,Yes,33.9,37.2,Note
Tapinoma,39584,Dolichoderinae,None,Tapinoma,Yes,5.333,11.608,Note
Tapinoma_aberrans,44578,Dolichoderinae,None,Tapinoma,Yes,33.9,38,Note
Tapinoma_baculum,16579,Dolichoderinae,None,Tapinoma,Yes,11.608,15.97,Note
Tapinoma_electrinum,44578,Dolichoderinae,None,Tapinoma,Yes,33.9,38,Note
Tapinoma_minutissimum,44518,Dolichoderinae,None,Tapinoma,Yes,5.333,11.608,Note
Tapinoma_troche,5207,Dolichoderinae,None,Tapinoma,Yes,13.82,20.44,Note
Technomyrmex_caritatis,44634,Dolichoderinae,None,Technomyrmex,Yes,13.82,20.44,Note
Technomyrmex_deletus,44518,Dolichoderinae,None,Technomyrmex,Yes,5.333,11.608,Note
Technomyrmex_hispaniolae,5207,Dolichoderinae,None,Technomyrmex,Yes,13.82,20.44,Note
Technomyrmex_septentrionalis,16579,Dolichoderinae,None,Technomyrmex,Yes,11.608,15.97,Note
Usomyrma_mirabilis,53816,Dolichoderinae,None,Usomyrma,Yes,33.9,38,Note
Yantaromyrmex_constrictus,44414,Dolichoderinae,None,Yantaromyrmex,Yes,33.9,38,Note
Yantaromyrmex_geinitzi,38999,Dolichoderinae,None,Yantaromyrmex,Yes,28.4,33.9,Note
Yantaromyrmex_intermedius,50040,Dolichoderinae,None,Yantaromyrmex,Yes,33.9,38,Note
Yantaromyrmex_mayrianum,50040,Dolichoderinae,None,Yantaromyrmex,Yes,33.9,38,Note
Yantaromyrmex_samlandicus,40999,Dolichoderinae,None,Yantaromyrmex,Yes,33.9,38,Note
Zherichinius_horribilis,44404,Dolichoderinae,None,Zherichinius,Yes,41.3,47.8,Note
Zherichinius_rapax,44404,Dolichoderinae,None,Zherichinius,Yes,41.3,47.8,Note
Acanthostichus_hispaniolicus,44410,Dorylinae,,Acanthostichus,Yes,13.82,20.44,Note
Cylindromyrmex_antillanus,44524,Dorylinae,None,Cylindromyrmex,Yes,13.82,20.44,Note
Cylindromyrmex_electrinus,44524,Dorylinae,None,Cylindromyrmex,Yes,13.82,20.44,Note
Cylindromyrmex_inopinatus,44525,Dorylinae,None,Cylindromyrmex,Yes,13.82,20.44,Note
Dorylinae,50423,Dorylinae,None,None,Yes,1.8,4.9,Note
Lioponera,38999,Dorylinae,None,Lioponera,Yes,28.4,33.9,Note
Neivamyrmex,52386,Dorylinae,None,Neivamyrmex,Yes,15.97,23.03,Note
Neivamyrmex_ectopus,5206,Dorylinae,None,Neivamyrmex,Yes,13.82,20.44,Note
Procerapachys_annosus,40999,Dorylinae,None,Procerapachys,Yes,33.9,38,Note
Procerapachys_favosus,40999,Dorylinae,None,Procerapachys,Yes,33.9,38,Note
Procerapachys_sulcatus,44602,Dorylinae,None,Procerapachys,Yes,33.9,38,Note
Canapone_dentata,38952,Ectatomminae,None,Canapone,Yes,70.6,83.5,Note
Ectatomma_gracile,44518,Ectatomminae,,Ectatomma,Yes,5.333,11.608,Note
Gnamptogenys_brunoi,44600,Ectatomminae,,Gnamptogenys,Yes,13.82,20.44,Note
Gnamptogenys_casca,44600,Ectatomminae,,Gnamptogenys,Yes,13.82,20.44,Note
Gnamptogenys_europaea,44414,Ectatomminae,,Gnamptogenys,Yes,33.9,38,Note
Gnamptogenys_levinates,44601,Ectatomminae,,Gnamptogenys,Yes,13.82,20.44,Note
Gnamptogenys_pristina,44601,Ectatomminae,,Gnamptogenys,Yes,13.82,20.44,Note
Gnamptogenys_rohdendorfi,44602,Ectatomminae,,Gnamptogenys,Yes,33.9,38,Note
Pseudectatomma_eocenica,43781,Ectatomminae,None,Pseudectatomma,Yes,40.4,48.6,Note
Pseudectatomma_striatula,43781,Ectatomminae,None,Pseudectatomma,Yes,40.4,48.6,Note
Rhytidoponera_gibsoni,59088,Ectatomminae,None,Rhytidoponera,Yes,20.44,23.03,Note
Rhytidoponera_kirghizorum,41286,Ectatomminae,None,Rhytidoponera,Yes,5.333,15.97,Note
Rhytidoponera_waipiata,59088,Ectatomminae,None,Rhytidoponera,Yes,20.44,23.03,Note
Titanomyrma_gigantea,44589,Formiciinae,None,Titanomyrma,Yes,40.4,48.6,Note
Titanomyrma_lubei,35980,Formiciinae,None,Titanomyrma,Yes,48.6,55.8,Note
Titanomyrma_simillima,44589,Formiciinae,None,Titanomyrma,Yes,40.4,48.6,Note
Acropyga,40600,Formicinae,,Acropyga,Yes,13.82,20.44,Note
Acropyga_glaesaria,40302,Formicinae,,Acropyga,Yes,13.82,20.44,Note
Camponotini,51248,Formicinae,Camponotini,None,Yes,2.588,3.6,Note
Camponotites,41286,Formicinae,None,Camponotites,Yes,11.608,15.97,Note
Camponotites_kraussei,40968,Formicinae,None,Camponotites,Yes,47.8,56,Note
Camponotites_macropterus,41286,Formicinae,None,Camponotites,Yes,11.608,15.97,Note
Camponotites_silvestris,51248,Formicinae,None,Camponotites,Yes,2.588,3.6,Note
Camponotites_steinbachi,36140,Formicinae,None,Camponotites,Yes,2.588,3.6,Note
Camponotites_xiejiaheensis,16579,Formicinae,None,Camponotites,Yes,11.608,15.97,Note
Camponotus,35523,Formicinae,None,Camponotus,Yes,15.97,20.43,Note
Camponotus_ambon,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_ampullosus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_cockerelli,5061,Formicinae,None,Camponotus,Yes,33.9,38,Note
Camponotus_compactus,38738,Formicinae,None,Camponotus,Yes,28.4,33.9,Note
Camponotus_crozei,51140,Formicinae,None,Camponotus,Yes,5.333,8.7,Note
Camponotus_curviansatus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_festinatus,44458,Formicinae,None,Camponotus,Yes,15.97,20.43,Note
Camponotus_festinus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_fuscipennis,4971,Formicinae,None,Camponotus,Yes,33.9,37.2,Note
Camponotus_gracilis,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_heracleus,37344,Formicinae,None,Camponotus,Yes,11.608,12.7,Note
Camponotus_herculeanus,52251,Formicinae,None,Camponotus,Yes,1.806,2.588,Note
Camponotus_induratus,37344,Formicinae,None,Camponotus,Yes,11.608,12.7,Note
Camponotus_lignitus,37344,Formicinae,None,Camponotus,Yes,11.608,12.7,Note
Camponotus_longiventris,38999,Formicinae,None,Camponotus,Yes,23.03,28.1,Note
Camponotus_longus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_luteus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_mengei,38999,Formicinae,None,Camponotus,Yes,28.4,33.9,Note
Camponotus_microcephalus,4971,Formicinae,None,Camponotus,Yes,33.9,37.2,Note
Camponotus_microthoracus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_mitis,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_novotnyi,44459,Formicinae,None,Camponotus,Yes,28.1,33.9,Note
Camponotus_obesus,44462,Formicinae,None,Camponotus,Yes,7.246,11.62,Note
Camponotus_oeningensis,37344,Formicinae,None,Camponotus,Yes,11.608,12.7,Note
Camponotus_palaeopterus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_penninervis,38999,Formicinae,None,Camponotus,Yes,23.03,28.1,Note
Camponotus_petrifactus,4971,Formicinae,None,Camponotus,Yes,33.9,37.2,Note
Camponotus_pictus,36942,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_pinguiculus,37344,Formicinae,None,Camponotus,Yes,11.608,12.7,Note
Camponotus_plenus,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_shanwangensis,16579,Formicinae,None,Camponotus,Yes,11.608,15.97,Note
Camponotus_theobaldi,38999,Formicinae,None,Camponotus,Yes,23.03,28.1,Note
Camponotus_tokunagai,52927,Formicinae,None,Camponotus,Yes,48.6,55.8,Note
Camponotus_ullrichi,44435,Formicinae,None,Camponotus,Yes,5.333,7.246,Note
Camponotus_vehemens,38738,Formicinae,None,Camponotus,Yes,28.4,33.9,Note
Camponotus_vetus,5133,Formicinae,None,Camponotus,Yes,46.2,50.3,Note
Cataglyphoides_constrictus,44414,Formicinae,None,Cataglyphoides,Yes,33.9,38,Note
Cataglyphoides_intermedius,44522,Formicinae,None,Cataglyphoides,Yes,33.9,38,Note
Chimaeromyrma_brachycephala,44404,Formicinae,None,Chimaeromyrma,Yes,41.3,47.8,Note
Conoformica_bitterfeldiana,44522,Formicinae,None,Conoformica,Yes,33.9,38,Note
Curtipalpulus_eocenicus,40725,Formicinae,None,Curtipalpulus,Yes,48.6,55.8,Note
Drymomyrmex_claripennis,40999,Formicinae,None,Drymomyrmex,Yes,33.9,38,Note
Drymomyrmex_fuscipennis,38999,Formicinae,None,Drymomyrmex,Yes,28.4,33.9,Note
Eoleptocerites_chinensis,40725,Formicinae,None,Eoleptocerites,Yes,48.6,55.8,Note
Eoleptocerites_fushunensis,40725,Formicinae,None,Eoleptocerites,Yes,48.6,55.8,Note
Eurytarsites_fushunensis,40725,Formicinae,None,Eurytarsites,Yes,48.6,55.8,Note
Formica,38999,Formicinae,None,Formica,Yes,33.9,37.2,Note
Formica_alsatica,38999,Formicinae,None,Formica,Yes,28.4,33.9,Note
Formica_annosa,55770,Formicinae,None,Formica,Yes,41.3,47.8,Note
Formica_arcana,39765,Formicinae,None,Formica,Yes,23.03,33.9,Note
Formica_auxillacensis,44462,Formicinae,None,Formica,Yes,5.333,7.246,Note
Formica_bauckhorni,44433,Formicinae,None,Formica,Yes,23.03,28.4,Note
Formica_biamoensis,56094,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_buphthalma,44517,Formicinae,None,Formica,Yes,15.97,16.9,Note
Formica_cantalica,44462,Formicinae,None,Formica,Yes,7.246,11.62,Note
Formica_ceps,16579,Formicinae,None,Formica,Yes,11.608,15.97,Note
Formica_cockerelli,4971,Formicinae,None,Formica,Yes,33.9,37.2,Note
Formica_demersa,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_eoptera,42241,Formicinae,None,Formica,Yes,33.9,37.2,Note
Formica_flavifemoralis,36942,Formicinae,None,Formica,Yes,11.608,15.97,Note
Formica_flori,38999,Formicinae,None,Formica,Yes,28.4,33.9,Note
Formica_fusca,16579,Formicinae,None,Formica,Yes,11.608,15.97,Note
Formica_gibbosa,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_globiventris,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_grandis,4971,Formicinae,None,Formica,Yes,33.9,37.2,Note
Formica_gravida,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_gustawi,44522,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_heteroptera,41450,Formicinae,None,Formica,Yes,41.3,47.8,Note
Formica_horrida,40999,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_immersa,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_kutscheri,44522,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_latinodosa,38999,Formicinae,None,Formica,Yes,23.03,28.1,Note
Formica_lavateri,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_linquensis,16579,Formicinae,None,Formica,Yes,11.608,15.97,Note
Formica_longicollis,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_lucida,47505,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_luteola,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_macrocephala,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_macrognatha,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_macrophthalma,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_maculipennis,44462,Formicinae,None,Formica,Yes,5.333,7.246,Note
Formica_martynovi,44457,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_neorufibarbis,55325,Formicinae,None,Formica,Yes,0.0117,0.126,Note
Formica_nigra,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_obscura,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_orbata,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_ovala,16579,Formicinae,None,Formica,Yes,11.608,15.97,Note
Formica_palaeopolonica,44522,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_paleosibirica,56094,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_parexsecta,51760,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_parvula,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_phaethusa,40999,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_pitoni,44462,Formicinae,None,Formica,Yes,2.588,3.6,Note
Formica_primitiva,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_primordialis,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_procera,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_pulchella,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_quadrata,44586,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_radchenkoi,44522,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_robusta,4971,Formicinae,None,Formica,Yes,33.9,37.2,Note
Formica_sepulta,38999,Formicinae,None,Formica,Yes,28.4,33.9,Note
